709	442
601	396
225	115
32	264
620	309
34	536
839	386
801	119
520	122
496	385
1077	302
411	188
55	467
1039	463
501	229
195	196
349	21
1049	197
102	113
1167	491
119	177
651	60
1141	164
956	202
1121	152
533	85
750	258
245	497
97	345
966	487
651	381
781	310
542	71
794	499
369	82
705	28
900	430
241	494
228	391
754	61
134	262
903	10
158	126
1085	303
1125	87
1035	249
1	191
855	234
387	299
911	460
146	17
824	222
523	80
158	236
753	395
1089	232
770	439
101	402
891	238
506	434
364	591
627	513
271	310
1068	452
309	578
99	76
948	4
241	563
494	16
565	431
301	599
259	331
260	324
683	532
190	266
1139	475
514	132
974	284
454	572
396	296
782	210
557	337
773	309
97	508
384	399
1158	324
972	562
353	178
637	345
232	446
1081	25
172	517
801	499
724	263
12	164
1036	258
765	550
1041	269
662	176
1026	365
441	522
422	344
26	189
878	391
17	253
839	422
303	468
935	230
66	509
587	279
99	256
173	40
300	423
1112	179
960	169
1167	367
75	364
665	163
484	281
643	293
449	275
1067	533
1164	163
638	580
1139	76
1137	33
586	363
604	79
556	164
1043	427
555	369
619	25
488	508
638	144
1051	417
1069	353
374	583
556	556
1007	114
968	400
960	416
527	54
7	162
91	584
821	345
214	272
1019	278
210	519
1187	345
308	299
571	597
672	370
214	370
734	324
1195	317
5	69
227	452
605	214
1066	449
231	505
469	447
929	429
898	315
62	598
224	182
760	586
59	270
417	310
694	496
649	542
693	92
536	241
95	574
139	531
1039	344
174	57
1063	355
793	480
160	168
850	380
1107	358
744	198
181	242
834	215
485	43
447	547
1122	381
1189	138
623	56
381	25
523	435
686	159
28	154
1105	241
493	232
1113	502
351	562
960	386
213	147
1050	149
427	16
518	157
621	391
120	159
651	245
128	277
810	112
687	344
1178	186
223	136
751	60
1014	311
1034	475
1126	599
783	517
539	332
304	461
804	599
801	340
10	595
953	192
994	515
940	200
878	428
639	273
374	427
293	279
327	224
899	77
315	374
1143	264
550	542
461	129
678	330
789	494
967	551
1191	476
754	552
1009	495
198	106
455	158
939	483
984	289
231	110
207	84
737	589
112	319
430	170
361	235
940	83
19	565
853	43
1042	487
281	173
1191	352
480	539
151	578
667	158
576	493
132	579
661	584
387	391
111	594
970	394
123	259
895	573
225	600
86	315
1130	273
737	432
371	503
551	22
486	413
1121	458
1156	167
14	362
277	26
669	597
970	276
307	197
597	167
1076	536
34	384
624	70
1035	337
1033	409
560	42
264	173
1049	284
894	23
1158	308
443	405
2	78
774	441
802	247
1161	146
4	132
576	463
211	528
404	503
788	171
532	535
818	47
806	525
804	566
44	433
254	435
511	458
923	66
388	21
964	341
360	16
552	270
1165	437
1013	549
754	204
85	534
67	280
1036	116
265	286
291	485
732	511
426	71
936	329
714	504
774	308
1147	563
836	115
764	71
925	518
950	142
1085	68
1018	362
68	459
467	388
1151	358
981	565
250	387
750	467
365	275
913	519
887	424
1011	580
275	162
440	58
210	342
799	306
260	355
429	548
356	419
518	101
972	312
800	94
277	490
643	22
360	550
804	24
929	22
446	369
939	240
517	523
998	437
984	141
895	500
975	157
403	584
153	41
664	598
920	176
1112	569
524	553
291	157
1141	100
1145	218
1161	22
389	115
826	240
379	127
343	279
1116	511
447	442
1191	393
92	455
248	79
528	214
1037	371
1152	61
890	413
712	576
349	321
300	138
53	49
1009	255
101	224
195	203
1193	333
720	477
937	144
535	56
785	138
613	484
1150	443
709	274
365	580
835	65
742	161
1149	546
967	114
1150	60
485	361
1067	170
585	342
775	52
528	252
126	157
412	129
